text,screen_name,created,favoriteCount,retweetCount,lang,location
"If by ""nonsense"" you mean ""a cruel and absurd plan that will never happen,"" we agree. #VPDebate https://t.co/KBU6xJVqh0",HillaryClinton,2016-10-05,4474,1642,en,"New York, NY"
"""The policies of this administration have driven this economy into a ditch.<U+0094> <U+0097>PenceNope. #VPDebate https://t.co/nuvHJ8FSoc",HillaryClinton,2016-10-05,7107,4659,en,"New York, NY"
.@Time: Why Mike Pence Didn<U+0092>t Defend Donald Trump https://t.co/l2XSvbvTlT https://t.co/1EbBnZdQnb,HillaryClinton,2016-10-05,2658,1107,en,"New York, NY"
Seems like Pence forgot a lot of the things Trump has been saying throughout his campaign! Here to help: https://t.co/NLPH8sbAGn #VPDebate,HillaryClinton,2016-10-05,8967,4882,en,"New York, NY"
"While millions of families paid their fair share in taxes, it looks like Trump contributed nothing to our military<U+0085> https://t.co/vifmUBJ5SH",HillaryClinton,2016-10-05,10389,4026,en,"New York, NY"
"On #WorldTeachersDay, it's not enough to appreciate teachers. We have to support them like America's future is in t<U+0085> https://t.co/0M06Aiid1E",HillaryClinton,2016-10-05,8104,3507,en,"New York, NY"
"Mike Pence's #VPDebate strategy seemed to be ""if you close your eyes, Trump doesn't exist."" https://t.co/VM4CuglV89",HillaryClinton,2016-10-05,9143,4399,en,"New York, NY"
"At the #VPDebate, Mike Pence tried really, really hard to deny pretty much everything Donald Trump has said and don<U+0085> https://t.co/lGHSMcEWpF",HillaryClinton,2016-10-05,43388,29202,en,"New York, NY"
"Tonight, Mike Pence is going to prove he's got Trump's back no matter what.Follow @TheBriefing2016 to hold him ac<U+0085> https://t.co/O7KfuiDapn",HillaryClinton,2016-10-05,3561,1520,en,"New York, NY"
"Hillary's advice to girls everywhere:""There's nothing wrong with knowing what you want and going after it."" https://t.co/76Ha3wR8lu",HillaryClinton,2016-10-06,5940,2131,en,"New York, NY"
"Every child, no matter their background or what zip code they live in, has the right to a high-quality education. https://t.co/bmPfuo7CY5",HillaryClinton,2016-10-06,5037,1746,en,"New York, NY"
"Born 99 years ago today, civil rights activist Fannie Lou Hamer was a decades-long fighter for universal voting rig<U+0085> https://t.co/HSgTygWlba",HillaryClinton,2016-10-06,12457,4626,en,"New York, NY"
"""Vote!"" <U+0097>@EvaLongoriaTag a friend who should see this message. https://t.co/tTgeqxNqYm https://t.co/YzLwZVgIXu",HillaryClinton,2016-10-06,6376,3057,en,"New York, NY"
<U+0093>You are more than the way you look.<U+0094> https://t.co/psJaUgTR2L,HillaryClinton,2016-10-06,4762,1538,en,"New York, NY"
"When Trump calls America a ""third-world country,"" you can tell he doesn't do a lot of listening to what's actually<U+0085> https://t.co/627kIwXSEa",HillaryClinton,2016-10-06,9473,3031,en,"New York, NY"
"On every issue, Hillary Clinton is the superior candidate. Hands down. <U+0097>@BernieSanders: https://t.co/tTgeqxNqYm https://t.co/nUfJjV0QvS",HillaryClinton,2016-10-06,9056,3680,en,"New York, NY"
"If we had a dollar for every time Mike Pence lied last night, well... https://t.co/3m4kppoh2g",HillaryClinton,2016-10-06,4991,1498,en,"New York, NY"
Even Mike Pence can't defend Donald Trump's insult-driven campaign. https://t.co/iJVFlrSHBq,HillaryClinton,2016-10-06,8076,3586,en,"New York, NY"
Hurricane #Matthew is a major storm. I urge everyone to follow emergency instructions and evacuate if you're told t<U+0085> https://t.co/JmPvW8uON0,HillaryClinton,2016-10-06,9069,3751,en,"New York, NY"
"The many, many lies Mike Pence told at last night's debate. https://t.co/Ro4TkFRAHw",HillaryClinton,2016-10-06,4963,2280,en,"New York, NY"
"Thanks, @chancetherapper. https://t.co/mU2AspoEOb",HillaryClinton,2016-10-06,11677,4348,en,"New York, NY"
"Unfortunately for Mike Pence and Donald Trump, Google exists (and we aren't stupid). https://t.co/dT15XthSSR",HillaryClinton,2016-10-06,8367,3036,en,"New York, NY"
"""I want a president who stands up against intolerance.""The cast of @EmpireFOX on why they're with Hillary:<U+0085> https://t.co/HAOJRjhDse",HillaryClinton,2016-10-06,10009,4654,en,"New York, NY"
We make it almost impossible for too many women to balance work and family. That needs to change:<U+0085> https://t.co/S0qSTbimjx,HillaryClinton,2016-10-06,6452,2483,en,"New York, NY"
"<U+0093>I<U+0092>m inspired by her heart, her persistence, and her guts.<U+0094> <U+0097>@FLOTUS on Hillary: https://t.co/tTgeqxNqYm https://t.co/vCTqwSuRqp",HillaryClinton,2016-10-06,8230,3095,en,"New York, NY"
Podemos demostrar que somos una comunidad poderosa. We can prove that we are a mighty community. <U+0097>@SalmaHayek <U+2192><U+0085> https://t.co/KsjnRWnERS,HillaryClinton,2016-10-07,8515,4270,en,"New York, NY"
"Our success isn't measured by the size of our bank accounts or the height of our skyscrapers. It's measured by wh<U+0085> https://t.co/hllWuBHwC6",HillaryClinton,2016-10-07,7554,2610,en,"New York, NY"
Latinas still make 55 cents for every dollar a white man makes. That<U+0092>s just totally unacceptable. <U+0097>Hillary https://t.co/tHzJGDJ74e,HillaryClinton,2016-10-07,6338,2442,en,"New York, NY"
"To everyone in the path of Hurricane Matthew: Stay safe, and know that America is with you. https://t.co/0KuidMhEHm",HillaryClinton,2016-10-07,7279,2197,en,"New York, NY"
This is horrific. We cannot allow this man to become president. https://t.co/RwhW7yeFI2,HillaryClinton,2016-10-07,89751,46600,en,"New York, NY"
"@leedanielsent Thanks, Lee! Great to have you on this team. -H",HillaryClinton,2016-10-07,595,174,en,"New York, NY"
The facts are clear: Trump refuses to admit he is wrong on the Central Park jogger case and continues to peddle yet<U+0085> https://t.co/oIgCjntUmz,HillaryClinton,2016-10-07,14438,6498,en,"New York, NY"
A lot has changed in the past two and a half decades. But the things we<U+0092>re fighting for remain the same. https://t.co/k0HVUYEhCI,HillaryClinton,2016-10-07,5069,1589,en,"New York, NY"
"When Hillary wanted to make sure every child in Arkansas got a quality education, she did her homework. https://t.co/vKu4XbHG4i",HillaryClinton,2016-10-07,5105,1637,en,"New York, NY"
Running for president was a little different back in 1992. https://t.co/tfWQX8qUsI https://t.co/buDdCaL0xv,HillaryClinton,2016-10-07,10529,2464,en,"New York, NY"
"Women have the power to stop Trump.https://t.co/tTgeqy51PUhttps://t.co/VH3woeAf9Q https://t.co/NjvbkPsjPR",HillaryClinton,2016-10-07,109166,59065,en,"New York, NY"
"""It will send a strong and powerful message...that we truly believe in equality."" <U+0097>@RepJohnLewisRegister to vote:<U+0085> https://t.co/mPthwxXE1m",HillaryClinton,2016-10-07,8510,3855,en,"New York, NY"
Once she was made aware that America had children languishing in foster care...her attitude was: not on my watch.<U+0085> https://t.co/mZpbrNaeS5,HillaryClinton,2016-10-07,11307,4959,en,"New York, NY"
What a woman president would mean to teenage girls: https://t.co/X4kOT0lfv8,HillaryClinton,2016-10-08,8148,2740,en,"New York, NY"
"Sometimes the man in the arena, it ain't a man. It is a woman. <U+0097>@CoryBooker https://t.co/OasacjNNAe",HillaryClinton,2016-10-08,14249,5855,en,"New York, NY"
It should concern every American that Russia is willing to engage in such hostile acts in order to help Donald Trum<U+0085> https://t.co/YxKatJYkqT,HillaryClinton,2016-10-08,22501,10721,en,"New York, NY"
