state_name,county_name,total_2012,dem_2012,pct_dem_2012,gop_2012,pct_gop_2012,oth_2012,pct_oth_2012,total_2016,dem_2016,pct_dem_2016,gop_2016,pct_gop_2016,oth_2016,pct_oth_2016,trump_county
california,Marin County,99286,73450,73.98,23347,23.51,2489,2.51,88115,69518,78.89,14214,16.13,4383,4.97,Clinton Won
texas,Denton County,240125,79917,33.28,156105,65.01,4103,1.71,293287,110000,37.51,169175,57.68,14112,4.81,Trump Won
california,Santa Barbara County,147249,84279,57.24,59096,40.13,3874,2.63,139366,85147,61.10,45788,32.85,8431,6.05,Clinton Won
oregon,Washington County,216473,124431,57.48,86551,39.98,5491,2.54,232034,137818,59.40,75903,32.71,18313,7.89,Clinton Won
washington,King County,871654,599796,68.81,252090,28.92,19768,2.27,883231,638033,72.24,191806,21.72,53392,6.05,Clinton Won
california,Ventura County,267907,138119,51.55,123919,46.25,5869,2.19,259438,143095,55.16,101351,39.07,14992,5.78,Clinton Won
kansas,Douglas County,46283,28012,60.52,17028,36.79,1243,2.69,48231,30089,62.39,14308,29.67,3834,7.95,Clinton Won
maryland,Montgomery County,404214,286493,70.88,110940,27.45,6781,1.68,408300,309761,75.87,82985,20.32,15554,3.81,Clinton Won
texas,El Paso County,171053,112273,65.64,56517,33.04,2263,1.32,210458,145509,69.14,54567,25.93,10382,4.93,Clinton Won
kansas,Riley County,20266,8587,42.37,11157,55.05,522,2.58,20475,8892,43.43,9817,47.95,1766,8.63,Trump Won
georgia,Fayette County,58473,19703,33.70,38046,65.07,724,1.24,60387,23255,38.51,35034,58.02,2098,3.47,Trump Won
NA,Harrisonburg City,15541,8650,55.66,6564,42.24,327,2.10,17693,10100,57.08,6232,35.22,1361,7.69,Clinton Won
arizona,Yuma County,33935,14025,41.33,19500,57.46,410,1.21,40759,18336,44.99,20586,50.51,1837,4.51,Trump Won
idaho,Minidoka County,6973,1390,19.93,5442,78.04,141,2.02,6870,1167,16.99,4887,71.14,816,11.88,Trump Won
minnesota,Hennepin County,677965,423979,62.54,240073,35.41,13913,2.05,672644,429283,63.82,191768,28.51,51593,7.67,Clinton Won
utah,Grand County,3812,1678,44.02,1917,50.29,217,5.69,4427,1920,43.37,1924,43.46,583,13.17,Trump Won
texas,Dallas County,705941,403170,57.11,294339,41.69,8432,1.19,750649,458845,61.13,261865,34.89,29939,3.99,Clinton Won
kansas,Seward County,4955,1393,28.11,3495,70.53,67,1.35,4743,1491,31.44,3025,63.78,227,4.79,Trump Won
california,Santa Clara County,491687,343239,69.81,136347,27.73,12101,2.46,553336,406049,73.38,116196,21.00,31091,5.62,Clinton Won
virginia,Henrico County,161195,89116,55.28,70235,43.57,1844,1.14,161966,93615,57.80,59674,36.84,8677,5.36,Clinton Won
california,Nevada County,30864,14261,46.21,15696,50.86,907,2.94,33258,16199,48.71,14686,44.16,2373,7.14,Clinton Won
oklahoma,Oklahoma County,256337,106812,41.67,149525,58.33,0,0.00,273609,112661,41.18,141429,51.69,19519,7.13,Trump Won
texas,Hays County,58808,25448,43.27,31577,53.70,1783,3.03,71524,33117,46.30,33730,47.16,4677,6.54,Trump Won
indiana,Boone County,27725,8326,30.03,18807,67.83,592,2.14,32061,10181,31.76,19654,61.30,2226,6.94,Trump Won
kentucky,Fayette County,125821,62078,49.34,60793,48.32,2950,2.34,136112,69776,51.26,56890,41.80,9446,6.94,Clinton Won
california,Placer County,126325,49126,38.89,74460,58.94,2739,2.17,105157,43915,41.76,55212,52.50,6030,5.73,Trump Won
california,Napa County,32332,19964,61.75,11647,36.02,721,2.23,31534,20454,64.86,9335,29.60,1745,5.53,Clinton Won
NA,Richmond City,92175,71037,77.07,19732,21.41,1406,1.53,94724,74640,78.80,14254,15.05,5830,6.15,Clinton Won
