text,favoriteCount,created,statusSource,screenName,retweetCount,location
So what exactly is Donald Trump hiding from voters? Pretty much everything. https://t.co/RGUqGN4I7i,10818,18-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6196,"New York, NY"
"In a normal election, these 126 things would disqualify Trump from becoming president: https://t.co/VeDJknt4JH",5245,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,2996,"New York, NY"
"""I strongly condemn the apparent terrorist attacks in Minnesota, New Jersey, and New York."" https://t.co/NSy3fkcu1c",7281,18-09-16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HillaryClinton,2692,"New York, NY"
"Joel Sollender, WWII veteran and POW, on what it means when he hears Trump insult our vets. https://t.co/3ZIezeRTl9",10773,18-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,6345,"New York, NY"
"""Read up on your history. It matters. We've got to get people to vote."" —@POTUS: https://t.co/tTgeqy51PU https://t.co/GyveEjARku",7056,18-09-16,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",HillaryClinton,3370,"New York, NY"
Presidential. https://t.co/tlfpcbVqkT,12660,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,4875,"New York, NY"
It wasn't so long ago that women faced and took down barriers that can seem ridiculous now. https://t.co/nuG8Gqmzt1 https://t.co/XwvEuxsrOV,6278,18-09-16,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",HillaryClinton,4023,"New York, NY"
"As @FLOTUS said, this election is about what kind of country we want to be and what we want to leave behind for future generations.",4018,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1413,"New York, NY"
"If you want to go to college or are saddled with student debt, you'll want to read what @TimKaine has to say: https://t.co/qa9qO4AFxW",4547,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1907,"New York, NY"
"""I’m going to close my campaign the way I began my career…focused on opportunities for children and fairness for families."" —Hillary",3155,18-09-16,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",HillaryClinton,1182,"New York, NY"
